instance,ea,gsr,vns,opt,initialSolution,timeMeasure,instanceSet,dynamicFrequency,dynamicChangeType,dynamicIntensity
LGF-Berlin-100-80000-1-greedy-evaluation-none,0.199116428571429,0.19677,0.228296071428572,500,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-evaluation-none,0.336278490566038,0.303088679245283,0.388101509433962,500,greedy,evaluation,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-evaluation-none,0.222197696737044,0.225653358925144,0.25499424184261,500,greedy,evaluation,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-none,0.691799355069867,0.668632389824436,0.710193622357578,500,greedy,evaluation,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-none,0.955287117389842,0.882705079044736,0.966519542549613,500,greedy,evaluation,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-none,0.933217798796216,0.899296388650043,0.94055399828031,500,greedy,evaluation,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-evaluation-none,0.896160103181427,0.856398538263113,0.903355030094583,500,greedy,evaluation,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-evaluation-none,0.849195009596929,0.805716314779271,0.876995777351248,500,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-evaluation-none,0.808586120996441,0.726663701067616,0.825335943060499,500,greedy,evaluation,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-evaluation-none,0.869395140186916,0.775751775700935,0.898455700934579,500,greedy,evaluation,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-bitVector-none,0.199948571428571,0.205158571428571,0.225808214285714,500,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-2-greedy-bitVector-none,0.3412,0.322308301886792,0.377902641509434,500,greedy,bitVector,Berlin,none,NA,NA
LGF-Berlin-100-80000-3-greedy-bitVector-none,0.224391554702495,0.237506717850288,0.253088291746641,500,greedy,bitVector,Berlin,none,NA,NA
LGF-brazil58-gen4-45.oplib-11428-greedy-bitVector-none,0.69224693658187,0.679436975994267,0.703543031171623,500,greedy,bitVector,oplib,none,NA,NA
LGF-gr120-gen4-85.oplib-5901-greedy-bitVector-none,0.953013049142356,0.911348348949004,0.963656988621423,449,greedy,bitVector,oplib,none,NA,NA
LGF-gr48-gen4-80.oplib-4037-greedy-bitVector-none,0.933162338779019,0.911278503869303,0.937028202923474,500,greedy,bitVector,oplib,none,NA,NA
LGF-hk48-gen4-80.oplib-9169-greedy-bitVector-none,0.89634660361135,0.873798280309544,0.902856749785039,500,greedy,bitVector,oplib,none,NA,NA
LGF-Leipzig-100-80000-1-greedy-bitVector-none,0.847778886756238,0.832620345489443,0.868363915547025,500,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-2-greedy-bitVector-none,0.807838790035587,0.744716370106762,0.822313167259786,500,greedy,bitVector,Leipzig,none,NA,NA
LGF-Leipzig-100-80000-3-greedy-bitVector-none,0.865970093457944,0.795380560747664,0.878708785046729,500,greedy,bitVector,Leipzig,none,NA,NA
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C10,0.213439285714286,0.207329642857143,0.239453571428572,500,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C25,0.191400714285714,0.197013928571429,0.215108928571429,500,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C5,0.211851071428571,0.213302857142857,0.236418214285714,500,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L10-absolute-C50,0.185872142857143,0.184956071428571,0.210394642857143,500,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C10,0.186812142857143,0.192359642857143,0.2093475,500,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C25,0.217195,0.211905,0.245487857142857,500,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C5,0.202751785714286,0.200185357142857,0.228702857142857,500,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L25-absolute-C50,0.253452857142857,0.256934285714286,0.281207142857143,500,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C10,0.210769285714286,0.210026428571429,0.233341428571429,500,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C25,0.188670357142857,0.1950275,0.214308214285714,500,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C5,0.198902857142857,0.205669285714286,0.225624642857143,500,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L5-absolute-C50,0.204789285714286,0.211789642857143,0.231549285714286,500,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C10,0.231763928571429,0.233238571428571,0.2601775,500,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C25,0.182128571428571,0.186461785714286,0.21478,500,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C5,0.183770714285714,0.190232857142857,0.211053571428572,500,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-1-greedy-evaluation-L50-absolute-C50,0.236633571428571,0.232654642857143,0.269968571428571,500,greedy,evaluation,Berlin,L50,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C10,0.342059245283019,0.306175471698113,0.38964,500,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C25,0.363172452830189,0.32436,0.40046641509434,500,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C5,0.352146037735849,0.317539245283019,0.391716226415094,500,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L10-absolute-C50,0.358792452830189,0.338258867924528,0.400035471698113,500,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C10,0.332410943396226,0.306147169811321,0.369841509433962,500,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C25,0.370441132075472,0.353598490566038,0.41081320754717,500,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C5,0.358347547169811,0.32175358490566,0.395955094339623,500,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L25-absolute-C50,0.401764905660377,0.37997358490566,0.440958490566038,500,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C10,0.345115094339623,0.318290943396226,0.386581886792453,500,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C25,0.367216603773585,0.345799622641509,0.405761132075472,500,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C5,0.342742264150943,0.306678113207547,0.384319622641509,500,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L5-absolute-C50,0.329716603773585,0.299157735849057,0.371681886792453,500,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C10,0.346349811320755,0.315489433962264,0.390190943396226,500,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C25,0.308692830188679,0.271168301886792,0.344755471698113,500,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C5,0.34924641509434,0.319067547169811,0.394181886792453,500,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-2-greedy-evaluation-L50-absolute-C50,0.35123358490566,0.329510566037736,0.399738113207547,500,greedy,evaluation,Berlin,L50,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C10,0.213842994241843,0.225432629558541,0.246968522072937,500,greedy,evaluation,Berlin,L10,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C25,0.232304798464491,0.240303646833013,0.266517850287908,500,greedy,evaluation,Berlin,L10,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C5,0.220656429942419,0.225982725527831,0.250649136276392,500,greedy,evaluation,Berlin,L10,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L10-absolute-C50,0.222565067178503,0.224117466410749,0.251844145873321,500,greedy,evaluation,Berlin,L10,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C10,0.240588099808061,0.243598848368522,0.269788099808061,500,greedy,evaluation,Berlin,L25,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C25,0.239651055662188,0.225482917466411,0.26927754318618,500,greedy,evaluation,Berlin,L25,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C5,0.242695585412668,0.246539347408829,0.275787332053743,500,greedy,evaluation,Berlin,L25,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L25-absolute-C50,0.258876007677543,0.25254472168906,0.291529750479846,500,greedy,evaluation,Berlin,L25,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C10,0.219480230326296,0.228428790786948,0.252124376199616,500,greedy,evaluation,Berlin,L5,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C25,0.227664491362764,0.237186180422265,0.261703646833013,500,greedy,evaluation,Berlin,L5,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C5,0.227292130518234,0.241350479846449,0.26331669865643,500,greedy,evaluation,Berlin,L5,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L5-absolute-C50,0.235418042226488,0.240829174664107,0.270730902111324,500,greedy,evaluation,Berlin,L5,absolute,C50
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C10,0.232161612284069,0.234247216890595,0.255387332053743,500,greedy,evaluation,Berlin,L50,absolute,C10
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C25,0.24158349328215,0.21882226487524,0.259530902111324,500,greedy,evaluation,Berlin,L50,absolute,C25
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C5,0.221801151631478,0.224159692898273,0.250849520153551,500,greedy,evaluation,Berlin,L50,absolute,C5
LGF-Berlin-100-80000-3-greedy-evaluation-L50-absolute-C50,0.268013051823417,0.260068330134357,0.2888,500,greedy,evaluation,Berlin,L50,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C10,0.697778502328914,0.675065782873522,0.716703403797922,500,greedy,evaluation,oplib,L10,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C25,0.704109279828019,0.678243138659979,0.730418058043712,500,greedy,evaluation,oplib,L10,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C5,0.68876732353995,0.66753980652096,0.7096376209244,500,greedy,evaluation,oplib,L10,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L10-absolute-C50,0.714102113937657,0.687757864564672,0.737660050161233,500,greedy,evaluation,oplib,L10,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C10,0.674556574704407,0.657999713364386,0.699240702257256,500,greedy,evaluation,oplib,L25,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C25,0.724400931565747,0.707371408097456,0.757023217484773,500,greedy,evaluation,oplib,L25,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C5,0.700321103547116,0.671762737370118,0.721978287352204,500,greedy,evaluation,oplib,L25,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L25-absolute-C50,0.698041633823002,0.672613686850591,0.730482407739162,500,greedy,evaluation,oplib,L25,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C10,0.697768398423504,0.672474811895378,0.715797563597277,500,greedy,evaluation,oplib,L5,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C25,0.695479111429595,0.670248083124328,0.716803081332856,500,greedy,evaluation,oplib,L5,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C5,0.694277319957005,0.672971551415263,0.713601218201362,500,greedy,evaluation,oplib,L5,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L5-absolute-C50,0.714997921891795,0.685852167681834,0.738351701898961,500,greedy,evaluation,oplib,L5,absolute,C50
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C10,0.673341311357936,0.642833679684701,0.711138516660695,500,greedy,evaluation,oplib,L50,absolute,C10
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C25,0.741350268720889,0.717590254389108,0.775884414188463,500,greedy,evaluation,oplib,L50,absolute,C25
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C5,0.696844213543533,0.674768470082408,0.723924399856682,500,greedy,evaluation,oplib,L50,absolute,C5
LGF-brazil58-gen4-45.oplib-11428-greedy-evaluation-L50-absolute-C50,0.70073722680043,0.682370978144034,0.743402078108205,500,greedy,evaluation,oplib,L50,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C10,0.948987117389842,0.868568382105617,0.962488261015809,500,greedy,evaluation,oplib,L10,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C25,0.949159636730575,0.867891826437941,0.964789640094181,500,greedy,evaluation,oplib,L10,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C5,0.959301749075008,0.886255028590649,0.969452707702657,500,greedy,evaluation,oplib,L10,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L10-absolute-C50,0.946585031954255,0.871143390514632,0.965448335015136,500,greedy,evaluation,oplib,L10,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C10,0.949658997645476,0.882214228052472,0.966579347460478,500,greedy,evaluation,oplib,L25,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C25,0.951894954591322,0.884397813656239,0.966179280188362,500,greedy,evaluation,oplib,L25,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C5,0.947796098217289,0.885001715438951,0.963156138580558,500,greedy,evaluation,oplib,L25,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L25-absolute-C50,0.956559132189707,0.883035385132862,0.973786781029263,500,greedy,evaluation,oplib,L25,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C10,0.9575216279852,0.883791927346115,0.96853730238816,500,greedy,evaluation,oplib,L5,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C25,0.954394820047091,0.879922637066936,0.967850958627649,500,greedy,evaluation,oplib,L5,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C5,0.954180457450387,0.875508610830811,0.964407063572149,500,greedy,evaluation,oplib,L5,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L5-absolute-C50,0.952720248906828,0.881494450050454,0.966384729229734,500,greedy,evaluation,oplib,L5,absolute,C50
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C10,0.950920820719812,0.867091826437941,0.965657887655567,500,greedy,evaluation,oplib,L50,absolute,C10
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C25,0.958236663303061,0.890702287251934,0.977274739320552,500,greedy,evaluation,oplib,L50,absolute,C25
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C5,0.949216313488059,0.879075042045072,0.963764244870501,500,greedy,evaluation,oplib,L50,absolute,C5
LGF-gr120-gen4-85.oplib-5901-greedy-evaluation-L50-absolute-C50,0.951139724184326,0.874256374032963,0.975680625630676,500,greedy,evaluation,oplib,L50,absolute,C50
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L10-absolute-C10,0.935051762682717,0.911900601891659,0.939259415305245,500,greedy,evaluation,oplib,L10,absolute,C10
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L10-absolute-C25,0.930052364574377,0.902225709372313,0.936126741186587,500,greedy,evaluation,oplib,L10,absolute,C25
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L10-absolute-C5,0.93410214961307,0.904363370593293,0.941275064488392,500,greedy,evaluation,oplib,L10,absolute,C5
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L10-absolute-C50,0.956497076526225,0.91974505588994,0.961749785038693,500,greedy,evaluation,oplib,L10,absolute,C50
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L25-absolute-C10,0.945196044711952,0.918828546861565,0.951057179707653,500,greedy,evaluation,oplib,L25,absolute,C10
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L25-absolute-C25,0.940279277730009,0.889705503009458,0.945432244196045,500,greedy,evaluation,oplib,L25,absolute,C25
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L25-absolute-C5,0.934037489251935,0.903646775580396,0.940004299226139,500,greedy,evaluation,oplib,L25,absolute,C5
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L25-absolute-C50,0.951448667239897,0.923468443680137,0.957705588993981,500,greedy,evaluation,oplib,L25,absolute,C50
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L5-absolute-C10,0.934884436801376,0.907594325021496,0.94104660361135,500,greedy,evaluation,oplib,L5,absolute,C10
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L5-absolute-C25,0.919838521066208,0.895066208082545,0.929166723989682,500,greedy,evaluation,oplib,L5,absolute,C25
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L5-absolute-C5,0.93348950988822,0.906817024935512,0.940364832330181,500,greedy,evaluation,oplib,L5,absolute,C5
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L5-absolute-C50,0.927929578675838,0.894330094582975,0.93279105760963,500,greedy,evaluation,oplib,L5,absolute,C50
LGF-gr48-gen4-80.oplib-4037-greedy-evaluation-L50-absolute-C10,0.937642132416165,0.906296646603611,0.943232674118659,500,greedy,evaluation,oplib,L50,absolute,C10
